direction,entry_time,exit_time,entry_price,exit_price,qty,notional,pnl,return_pct,r_multiple,hold_hours,entry_label,exit_label,entry_regime,exit_regime,entry_bar,exit_bar,cumulative_pnl,trade_number,is_win,running_win_rate,running_profit_factor
LONG,2024-05-22 17:00:00,2024-05-22 17:15:00,70103.62,70256.7,0.00445962,312.64,0.62,0.2184,0.1983,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,13700,13701,483.71570000000037,1218,1,58.702791461412154,1.8304105102489816
LONG,2024-05-22 17:30:00,2024-05-22 17:45:00,69905.42,69863.52,0.00447251,312.65,-0.2499,-0.0599,-0.0799,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,13702,13703,483.46580000000034,1219,0,58.65463494667761,1.8296255798780907
LONG,2024-05-22 18:15:00,2024-05-22 18:30:00,69514.2,69491.26,0.00449754,312.64,-0.1657,-0.033,-0.053,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,-1,-2,13705,13706,483.3001000000003,1220,0,58.606557377049185,1.8291054909142395
SHORT,2024-05-22 20:00:00,2024-05-22 20:15:00,69838.72,69580.72,0.00447655,312.64,1.0926,0.3694,0.3495,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,13712,13713,484.39270000000033,1221,1,58.64045864045864,1.830979855639951
SHORT,2024-05-22 20:15:00,2024-05-22 20:30:00,69928.62,69508.01,0.00447123,312.67,1.8185,0.6015,0.5816,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,13713,13714,486.2112000000003,1222,1,58.674304418985265,1.8340995080779032
LONG,2024-05-22 21:00:00,2024-05-22 21:15:00,69160.47,69342.02,0.00452166,312.72,0.7582,0.2625,0.2425,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,13716,13717,486.9694000000003,1223,1,58.70809484873263,1.8354002067187916
SHORT,2024-05-23 07:30:00,2024-05-23 07:45:00,69688.73,69734.04,0.00448768,312.74,-0.2659,-0.065,-0.085,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,13758,13759,486.7035000000003,1224,0,58.66013071895425,1.8345633637720162
SHORT,2024-05-23 12:00:00,2024-05-23 12:15:00,70082.71,69968.0,0.00446231,312.73,0.4494,0.1637,0.1437,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,13776,13777,487.15290000000033,1225,1,58.693877551020414,1.835333961837736
LONG,2024-05-23 12:45:00,2024-05-23 13:00:00,69618.16,69399.34,0.00449226,312.74,-1.0453,-0.3143,-0.3343,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,13779,13780,486.10760000000033,1226,0,58.64600326264274,1.8320501885648568
LONG,2024-05-23 12:45:00,2024-05-23 13:15:00,69268.32,69296.02,0.00451494,312.74,0.0625,0.04,0.02,0.5,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,13779,13781,486.17010000000033,1227,1,58.679706601467,1.8321571672189354
