direction,entry_time,exit_time,entry_price,exit_price,qty,notional,pnl,return_pct,r_multiple,hold_hours,entry_label,exit_label,entry_regime,exit_regime,entry_bar,exit_bar,cumulative_pnl,trade_number,is_win,running_win_rate,running_profit_factor
SHORT,2026-02-15 18:15:00,2026-02-15 18:45:00,86.84,86.07,0.59423081,51.6,0.2373,0.8915,0.4598,0.5,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,73,75,5.465299999999999,29,1,62.06896551724138,4.347605047164032
LONG,2026-02-15 18:00:00,2026-02-15 19:00:00,86.09,85.85,0.59900133,51.57,-0.1523,-0.2753,-0.2953,1.0,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,72,76,5.312999999999999,30,0,60.0,3.9766373466300635
LONG,2026-02-15 18:45:00,2026-02-15 19:00:00,86.07,86.28,0.60023894,51.66,0.0497,0.2462,0.0963,0.25,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,75,76,5.3626999999999985,31,1,61.29032258064516,4.004482043811978
SHORT,2026-02-15 19:00:00,2026-02-15 19:15:00,86.28,86.03,0.59897609,51.68,-0.0325,0.2893,-0.0629,0.25,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,76,77,5.330199999999999,32,0,59.375,3.932871134587873
LONG,2026-02-15 19:30:00,2026-02-15 19:45:00,85.6,85.34,0.60375289,51.68,-0.1672,-0.3035,-0.3235,0.25,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,78,79,5.1629999999999985,33,0,57.57575757575758,3.601531794820115
LONG,2026-02-15 20:00:00,2026-02-15 21:00:00,84.91,86.22,0.61109328,51.89,0.3383,1.5367,0.6519,1.0,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,80,84,5.501299999999999,34,1,58.82352941176471,3.7719943565453997
LONG,2026-02-15 20:15:00,2026-02-15 21:15:00,85.27,86.22,0.60909066,51.94,0.3946,1.1128,0.7598,1.0,BUY_OPEN_LONG,PRUNE_GAP,0,0,81,85,5.895899999999998,35,1,60.0,3.970825355235312
SHORT,2026-02-15 21:00:00,2026-02-15 21:15:00,86.22,86.22,0.6026858,51.96,-0.0109,-0.001,-0.021,0.25,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,84,85,5.884999999999998,36,0,58.333333333333336,3.9491355549987475
SHORT,2026-02-15 22:30:00,2026-02-15 23:00:00,86.65,85.93,0.60173296,52.14,0.1062,0.8342,0.2036,0.5,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,90,92,5.991199999999998,37,1,59.45945945945946,4.002355299423703
LONG,2026-02-15 23:00:00,2026-02-15 23:15:00,85.93,85.67,0.60723659,52.18,-0.1671,-0.3002,-0.3202,0.25,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,92,93,5.824099999999999,38,0,57.89473684210527,3.693100897068344
LONG,2026-02-15 23:00:00,2026-02-16 00:00:00,85.5,86.32,0.61030345,52.18,0.4028,0.9619,0.772,1.0,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,92,96,6.226899999999999,39,1,58.97435897435898,3.879358179968557
LONG,2026-02-15 23:15:00,2026-02-16 00:15:00,85.24,86.34,0.61239309,52.2,0.3084,1.2878,0.5909,1.0,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,93,97,6.5352999999999986,40,1,60.0,4.021964302228799
SHORT,2026-02-16 00:00:00,2026-02-16 01:00:00,86.32,86.27,0.6050135,52.22,-0.0165,0.0575,-0.0316,1.0,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,96,100,6.518799999999999,41,0,58.536585365853654,3.9915102565279246
SHORT,2026-02-16 00:15:00,2026-02-16 01:30:00,86.34,85.55,0.60599505,52.32,0.2917,0.914,0.5576,1.25,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,97,102,6.810499999999998,42,1,59.523809523809526,4.125372860355193
LONG,2026-02-16 01:30:00,2026-02-16 02:15:00,85.55,86.2,0.61365448,52.5,0.2082,0.7577,0.3966,0.75,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,102,105,7.018699999999998,43,1,60.46511627906976,4.2209168922949845
SHORT,2026-02-16 00:30:00,2026-02-16 02:45:00,86.26,85.39,0.60742125,52.4,-0.1085,1.0087,-0.207,2.25,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,98,107,6.910199999999998,44,0,59.09090909090909,4.020720405665327
SHORT,2026-02-16 02:15:00,2026-02-16 02:45:00,86.2,85.35,0.60984218,52.57,0.3989,0.9831,0.7589,0.5,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,105,107,7.309099999999998,45,1,60.0,4.195095296380487
LONG,2026-02-16 02:45:00,2026-02-16 03:15:00,85.35,84.9,0.61649143,52.62,-0.288,-0.5275,-0.5474,0.5,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,107,109,7.021099999999998,46,0,58.69565217391305,3.7260055909302694
LONG,2026-02-16 03:15:00,2026-02-16 03:30:00,84.97,85.13,0.62005541,52.69,-0.0314,0.1854,-0.0595,0.25,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,109,110,6.989699999999998,47,0,57.446808510638306,3.6811277330264676
SHORT,2026-02-16 04:15:00,2026-02-16 04:45:00,85.56,85.79,0.61850955,52.92,-0.1554,-0.2737,-0.2937,0.5,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,113,115,6.834299999999998,48,0,56.25,3.4740443092962643
SHORT,2026-02-16 04:45:00,2026-02-16 05:15:00,85.72,84.97,0.61757139,52.94,-0.0051,0.8715,-0.0096,0.5,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,115,117,6.829199999999998,49,0,55.10204081632652,3.4676422764227643
SHORT,2026-02-16 05:00:00,2026-02-16 05:30:00,85.5,84.65,0.6189292,52.92,0.526,0.9896,0.994,0.5,SELL_OPEN_SHORT,PRUNE_GAP,0,0,116,118,7.355199999999998,50,1,56.00000000000001,3.6577055103884373
LONG,2026-02-16 05:30:00,2026-02-16 06:30:00,84.55,85.12,0.62597439,52.92,0.0878,0.6835,0.1658,1.0,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,118,122,7.442999999999998,51,1,56.86274509803921,3.6894308943089427
SHORT,2026-02-16 06:30:00,2026-02-16 07:00:00,85.12,85.26,0.62444006,53.15,-0.0955,-0.1596,-0.1796,0.5,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,122,124,7.3474999999999975,52,0,55.769230769230774,3.566363953894516
SHORT,2026-02-16 07:15:00,2026-02-16 09:00:00,85.49,85.73,0.622021,53.17,-0.1623,-0.2852,-0.3052,1.75,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,125,132,7.185199999999997,53,0,54.71698113207547,3.3750371863947377
SHORT,2026-02-16 09:00:00,2026-02-16 09:15:00,85.56,86.06,0.62151713,53.17,0.3955,-0.5886,0.7438,0.25,SELL_OPEN_SHORT,PRUNE_GAP,0,0,132,133,7.5806999999999976,54,1,55.55555555555556,3.5057680230059827
LONG,2026-02-16 09:15:00,2026-02-16 09:30:00,85.63,86.14,0.62086716,53.16,-0.3734,0.5959,-0.7024,0.25,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,133,134,7.207299999999997,55,0,54.54545454545454,3.1206049371818634
LONG,2026-02-16 10:15:00,2026-02-16 11:00:00,85.71,85.02,0.61914165,53.07,-0.4372,-0.8041,-0.8239,0.75,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,137,140,6.770099999999998,56,0,53.57142857142857,2.7649313068640997
LONG,2026-02-16 11:00:00,2026-02-16 11:15:00,85.34,85.3,0.62177268,53.06,-0.2153,-0.0478,-0.4057,0.25,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,140,141,6.5547999999999975,57,0,52.63157894736842,2.617989731437599
LONG,2026-02-16 11:15:00,2026-02-16 11:30:00,84.87,85.24,0.62324521,52.9,-0.0733,0.4322,-0.1385,0.25,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,141,142,6.481499999999998,58,0,51.724137931034484,2.571463207661535
SHORT,2026-02-16 11:45:00,2026-02-16 12:15:00,85.67,86.3,0.61723095,52.88,0.6589,-0.7398,1.2461,0.5,SELL_OPEN_SHORT,PRUNE_GAP,0,0,143,145,7.140399999999998,59,1,52.54237288135594,2.7312159049581775
SHORT,2026-02-16 12:15:00,2026-02-16 12:30:00,85.94,86.31,0.61560023,52.9,-0.2397,-0.433,-0.4531,0.25,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,145,146,6.900699999999998,60,0,51.66666666666667,2.5812061775354023
SHORT,2026-02-16 12:15:00,2026-02-16 13:15:00,86.37,85.0,0.61255272,52.9,1.0521,1.581,1.9887,1.0,SELL_OPEN_SHORT,PRUNE_GAP,0,0,145,149,7.952799999999998,61,1,52.459016393442624,2.822281288666881
SHORT,2026-02-16 13:00:00,2026-02-16 13:30:00,86.74,84.51,0.60988197,52.9,1.1262,2.5733,2.1288,0.5,SELL_OPEN_SHORT,PRUNE_GAP,0,0,148,150,9.078999999999999,62,1,53.2258064516129,3.0803354566701806
SHORT,2026-02-16 13:15:00,2026-02-16 13:45:00,85.43,84.17,0.62232964,53.16,1.0302,1.4697,1.9378,0.5,SELL_OPEN_SHORT,PRUNE_GAP,0,0,149,151,10.1092,63,1,53.96825396825397,3.316392465973146
SHORT,2026-02-16 13:15:00,2026-02-16 14:00:00,85.85,84.16,0.61924882,53.16,0.7771,1.9691,1.4617,0.75,SELL_OPEN_SHORT,PRUNE_GAP,0,0,149,152,10.8863,64,1,54.6875,3.4944548829109583
SHORT,2026-02-16 13:30:00,2026-02-16 14:15:00,84.93,83.75,0.62917894,53.44,0.365,1.3932,0.683,0.75,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,150,153,11.2513,65,1,55.38461538461539,3.5780899133861888
LONG,2026-02-16 14:15:00,2026-02-16 14:45:00,83.75,84.47,0.64112762,53.69,0.221,0.8584,0.4115,0.5,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,153,155,11.4723,66,1,56.060606060606055,3.628729205810917
