bar,timestamp,price,qty,label,regime,pnl,datetime
547,1765989900000.0,0.12746,0.0,PRUNE_OLDEST,0,0.08551285985234514,2025-12-17 16:45:00
596,1766034000000.0,0.12462891291137401,72.38979397647059,BUY_OPEN_LONG,0,0.0,2025-12-18 05:00:00
596,1766034000000.0,0.12463567218114333,7.003263264481876,BUY_CLOSE_SHORT,0,0.0,2025-12-18 05:00:00
597,1766034900000.0,0.12427,0.0,PRUNE_DEVIANCE,-2,-0.02778080764935081,2025-12-18 05:15:00
601,1766038500000.0,0.12489135000000001,72.25111394475257,SELL_OPEN_SHORT,0,0.0,2025-12-18 06:15:00
602,1766039400000.0,0.12462,0.0,PRUNE_OLDEST,0,0.017804553004950856,2025-12-18 06:30:00
609,1766045700000.0,0.1252431,72.05202645829723,SELL_OPEN_SHORT,0,0.0,2025-12-18 08:15:00
610,1766046600000.0,0.12533,0.0,PRUNE_OLDEST,0,-0.008067377194429771,2025-12-18 08:30:00
616,1766052000000.0,0.12595665,71.64149720946376,SELL_OPEN_SHORT,0,0.0,2025-12-18 10:00:00
617,1766052900000.0,0.12608,0.0,PRUNE_OLDEST,2,-0.010643490674420785,2025-12-18 10:15:00
644,1766077200000.0,0.1254496,71.92808540186844,BUY_OPEN_LONG,0,0.0,2025-12-18 17:00:00
645,1766078100000.0,0.12276,0.0,PRUNE_DEVIANCE,0,-0.19522375684965204,2025-12-18 17:15:00
645,1766078100000.0,0.12416804552121563,72.62286083166825,SELL_OPEN_SHORT,0,0.0,2025-12-18 17:15:00
646,1766079000000.0,0.12366,0.0,CIRCUIT_BREAKER_HALT,-2,0.0,2025-12-18 17:30:00
662,1766093400000.0,0.12246,0.0,PRUNE_OLDEST,0,0.12226447307390784,2025-12-18 21:30:00
664,1766095200000.0,0.12359129623460917,72.99100174548873,SELL_OPEN_SHORT,0,0.0,2025-12-18 22:00:00
665,1766096100000.0,0.12326,0.0,PRUNE_OLDEST,0,0.022382269863602283,2025-12-18 22:15:00
669,1766099700000.0,0.12228257249557441,73.77723314820575,BUY_OPEN_LONG,0,0.0,2025-12-18 23:15:00
670,1766100600000.0,0.12205,0.0,PRUNE_OLDEST,0,-0.018959457491000357,2025-12-18 23:30:00
677,1766106900000.0,0.12131697919947235,74.35931068141618,BUY_OPEN_LONG,0,0.0,2025-12-19 01:15:00
678,1766107800000.0,0.12107,0.0,PRUNE_OLDEST,-1,-0.020165739374251722,2025-12-19 01:30:00
683,1766112300000.0,0.12176828387655148,74.07830316395372,SELL_OPEN_SHORT,0,0.0,2025-12-19 02:45:00
684,1766113200000.0,0.12334,0.0,PRUNE_OLDEST,0,-0.11825742706294272,2025-12-19 03:00:00
684,1766113200000.0,0.12268796295726588,73.49364832769507,BUY_OPEN_LONG,0,0.0,2025-12-19 03:00:00
684,1766113200000.0,0.12203592591453173,73.88632434302595,BUY_OPEN_LONG,0,0.0,2025-12-19 03:00:00
685,1766114100000.0,0.12553,73.88632434302595,PRUNE_OLDEST,0,0.20702653941806934,2025-12-19 03:15:00
685,1766114100000.0,0.12468764829904935,72.3639327668823,BUY_OPEN_LONG,0,0.0,2025-12-19 03:15:00
685,1766114100000.0,0.12384654952867977,72.85538945341064,BUY_OPEN_LONG,0,0.0,2025-12-19 03:15:00
685,1766114100000.0,0.12300545075831018,73.35356720168348,BUY_OPEN_LONG,0,0.0,2025-12-19 03:15:00
686,1766115000000.0,0.12546,72.3639327668823,PRUNE_OLDEST,2,0.2511382928030424,2025-12-19 03:30:00
687,1766115900000.0,0.12551,72.85538945341064,PRUNE_OLDEST,2,0.0576921237580104,2025-12-19 03:45:00
688,1766116800000.0,0.12638,73.35356720168348,PRUNE_OLDEST,2,0.18273402792513738,2025-12-19 04:00:00
689,1766117700000.0,0.12583,0.0,PRUNE_OLDEST,2,0.20534474674256048,2025-12-19 04:15:00
699,1766126700000.0,0.12660758321474708,21.85728894219764,SELL_CLOSE_LONG,0,0.0,2025-12-19 06:45:00
700,1766127600000.0,0.12735802781769723,71.00952815522867,BUY_OPEN_LONG,0,0.0,2025-12-19 07:00:00
700,1766127600000.0,0.1266960556353945,71.38054469620512,BUY_OPEN_LONG,0,0.0,2025-12-19 07:00:00
700,1766127600000.0,0.12868197218230276,70.27894668340272,SELL_OPEN_SHORT,0,0.0,2025-12-19 07:00:00
701,1766128500000.0,0.12767,71.38054469620512,PRUNE_OLDEST,2,0.02033984017096161,2025-12-19 07:15:00
701,1766128500000.0,0.12767,0.0,PRUNE_OLDEST,2,0.06932583642052809,2025-12-19 07:15:00
702,1766129400000.0,0.12784,0.0,PRUNE_OLDEST,0,0.07983031408090373,2025-12-19 07:30:00
707,1766133900000.0,0.12855891687757423,7.138054469620512,SELL_CLOSE_LONG,2,0.0,2025-12-19 08:45:00
919,1766324700000.0,0.12897,0.0,CIRCUIT_BREAKER_HALT,-2,0.0,2025-12-21 13:45:00
936,1766340000000.0,0.12926922177535088,69.99775686866865,BUY_OPEN_LONG,0,0.0,2025-12-21 18:00:00
937,1766340900000.0,0.12946,0.0,PRUNE_OLDEST,0,0.011541665863980902,2025-12-21 18:15:00
940,1766343600000.0,0.13010729999999998,69.54911457754946,SELL_OPEN_SHORT,0,0.0,2025-12-21 19:00:00
941,1766344500000.0,0.12996,0.0,PRUNE_OLDEST,0,0.008436863991172612,2025-12-21 19:15:00
955,1766357100000.0,0.1306098,69.28305784030175,SELL_OPEN_SHORT,0,0.0,2025-12-21 22:45:00
956,1766358000000.0,0.13087,0.0,PRUNE_OLDEST,0,-0.019840866405957756,2025-12-21 23:00:00
960,1766361600000.0,0.13152434999999998,68.79636210055475,SELL_OPEN_SHORT,2,0.0,2025-12-22 00:00:00
960,1766361600000.0,0.13217869999999998,68.455786050552,SELL_OPEN_SHORT,2,0.0,2025-12-22 00:00:00
